eco	name	fen	moves
C02	French Defense: Advance Variation, Milner-Barry Gambit	r1b1kbnr/pp3ppp/1qn1p3/2ppP3/3P4/2PB1N2/PP3PPP/RNBQK2R b KQkq -	e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 b8c6 g1f3 d8b6 f1d3
C02	French Defense: Advance Variation, Nimzowitsch Attack	rnbqkbnr/pp3ppp/4p3/2ppP3/3P2Q1/8/PPP2PPP/RNB1KBNR b KQkq -	e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 d1g4
C02	French Defense: Advance Variation, Nimzowitsch Gambit	rnbqkbnr/pp3ppp/4p3/3pP3/3p2Q1/5N2/PPP2PPP/RNB1KB1R b KQkq -	e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 d1g4 c5d4 g1f3
C02	French Defense: Advance Variation, Nimzowitsch System	rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq -	e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 g1f3
C02	French Defense: Advance Variation, Paulsen Attack	r1bqkbnr/pp3ppp/2n1p3/2ppP3/3P4/2P2N2/PP3PPP/RNBQKB1R b KQkq -	e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 b8c6 g1f3
C02	French Defense: Advance Variation, Ruisdonk Gambit	rnbqkbnr/pp3ppp/4p3/3pP3/3p4/3B1N2/PPP2PPP/RNBQK2R b KQkq -	e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 g1f3 c5d4 f1d3
C02	French Defense: Advance Variation, Steinitz Variation	rnbqkbnr/pp3ppp/4p3/2PpP3/8/8/PPP2PPP/RNBQKBNR b KQkq -	e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 d4c5
C02	French Defense: Advance Variation, Wade Variation	rn2kbnr/pp1b1ppp/1q2p3/2ppP3/3P4/2P2N2/PP3PPP/RNBQKB1R w KQkq -	e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 d8b6 g1f3 c8d7
C03	French Defense: Guimard Variation, Thunderbunny Variation	r1bqkbnr/ppp2ppp/2n5/4p3/3PN3/2P5/PP3PPP/R1BQKBNR w KQkq -	e2e4 e7e6 d2d4 d7d5 b1d2 b8c6 c2c3 d5e4 d2e4 e6e5
C03	French Defense: Tarrasch Variation	rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPPN1PPP/R1BQKBNR b KQkq -	e2e4 e7e6 d2d4 d7d5 b1d2
C03	French Defense: Tarrasch Variation, Guimard Defense	r1bqkbnr/ppp2ppp/2n1p3/3p4/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq -	e2e4 e7e6 d2d4 d7d5 b1d2 b8c6
